,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie
Narcos : Mexico,7.2,"Série de   Doug Miro,   Carlo Bernard et   Chris Brancato","Action, aventure, policier",2 saisons(en cours),Netflix,55 min,16 novembre 2018
Violet Evergarden,7.3,"Anime de   Taichi Ishidate,   Kana Akatsuki,   Haruka Fujita...","Romance, fantasy, guerre",1 saison(terminée),Tokyo MX,25 min,11 janvier 2018
Escape at Dannemora,7.5,Série de   Brett Johnson et   Michael Tolkin,Drame et mini-série,1 saison(arrêtée),Showtime,1 h,18 novembre 2018
The Looming Tower,7.3,"Série de   Dan Futterman,   Alex Gibney et   Lawrence Wright","Thriller, mini-série et drame",1 saison(terminée),Hulu,50 min,28 février 2018
Chernobyl,8.5,Série de   Craig Mazin,"Drame, historique et mini-série",1 saison(terminée),HBO,1 h 05 min,6 mai 2019
The Boys,7.7,Série de   Eric Kripke,Fantastique et action,3 saisons(en cours),Prime Video,1 h,26 juillet 2019
Watchmen,7.8,Série de   Damon Lindelof,"Drame, fantastique et mini-série",1 saison(terminée),HBO,1 h,20 octobre 2019
"Love, Death & Robots",7.4,Dessin animé de   Tim Miller,"Science-fiction, fantastique, Épouvante-horreur",1 saison(en cours),Netflix,10 min,15 mars 2019
Sex Education,7.1,Série de   Laurie Nunn,Comédie et drame,3 saisons(en cours),Netflix,51 min,11 janvier 2019
Euphoria,7.8,Série de   Sam Levinson,Drame,2 saisons(en cours),HBO,54 min,16 juin 2019
The Mandalorian,7.0,Série de   Jon Favreau,"Action, aventure, science-fiction",2 saisons(en cours),Disney+,39 min,12 novembre 2019
The Umbrella Academy,6.8,Série de   Jeremy Slater et   Steve Blackman,"Fantastique, action, drame",2 saisons(en cours),Netflix,47 min,15 février 2019
Years and Years,7.7,Série de   Russell T. Davies,Mini-série et drame,1 saison(terminée),BBC One,1 h,14 mai 2019
Dans leur regard,8.1,Série de   Ava DuVernay,Thriller et mini-série,1 saison(terminée),Netflix,1 h 04 min,31 mai 2019
Poupée russe,6.9,"Série de   Amy Poehler,   Natasha Lyonne et   Leslye Headland",Comédie dramatique,2 saisons(en cours),Netflix,30 min,1 février 2019
The Witcher,6.5,Série de   Lauren Schmidt Hissrich,Aventure et fantasy,1 saison(en cours),Netflix,1 h,20 décembre 2019
Kingdom,7.3,Drama de   Kim Sung-hoon,Épouvante-horreur et historique,2 saisons(en cours),Netflix,55 min,25 janvier 2019
Good Omens,7.2,Série de   Neil Gaiman,"Comédie, mini-série et fantastique",1 saison(terminée),Prime Video,1 h,31 mai 2019
Unbelievable,7.7,"Série de   Susannah Grant,   Michael Chabon et   Ayelet Waldman","Policier, drame et mini-série",1 saison(terminée),Netflix,45 min,13 septembre 2019
Dark Crystal : Le Temps de la résistance,7.7,Dessin animé de   Jeffrey Addiss et   Will Matthews,"Fantasy, aventure et jeunesse",1 saison(arrêtée),Netflix,50 min,30 août 2019
His Dark Materials : À la croisée des mondes,6.9,Série de   Jack Thorne,"Action, aventure et fantasy",2 saisons(en cours),BBC One,57 min,3 novembre 2019
After Life,7.3,Série de   Ricky Gervais,Comédie et drame,3 saisons(en cours),Netflix,28 min,8 mars 2019
Too Old to Die Young,6.9,Série de   Ed Brubaker et   Nicolas Winding Refn,Policier et drame,1 saison(terminée),Prime Video,1 h 16 min,14 juin 2019
What We Do In The Shadows,7.4,Série de   Jemaine Clement,Comédie et Épouvante-horreur,3 saisons(en cours),FX,23 min,27 mars 2019
Undone,7.6,Dessin animé de   Kate Purdy et   Raphael Bob-Waksberg,"Animation, drame, fantastique",2 saisons(en cours),Prime Video,25 min,13 septembre 2019
Carnival Row,6.8,Série de   René Echevarria et   Travis Beacham,"Fantastique, thriller et policier",2 saisons(en cours),Prime Video,50 min,30 août 2019
Notre planète,8.5,"Série de   David Attenborough,   Adam Chapman,   Hugh Pearson...",Documentaire et mini-série,1 saison(terminée),Netflix,50 min,5 avril 2019
L'Effondrement,7.5,"Série de   Guillaume Desjardins,   Jérémy Bernard et   Bastien Ughetto",Mini-série et drame,1 saison(terminée),Canal+,20 min,11 novembre 2019
L'Attaque des Titans 3 - Partie 2,8.7,"Anime de   Yasuko Kobayashi,   Hajime Isayama,   Masashi Koizuka...","Guerre, Épouvante-horreur, shōnen",1 saison(terminée),NHK,25 min,29 avril 2019
