,Nom,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie,Mois,Année,Saison,Pays,series_policier,series_drame,series_thriller,series_épouvante-horreur,series_mini-série,series_guerre,series_action,series_historique,series_aventure,series_fantasy,series_comédie,series_animation,series_jeunesse,series_documentaire,series_dramatique,series_romance,series_shōnen,series_seinen,series_fantastique,series_science-fiction,series_sport,series_biopic,series_musique,series_anthologique,series_judiciaire,series_western,series_médical,series_télé-réalité
0,Sherlock,8.1,Série de   Mark Gatiss et   Steven Moffat,"['policier', 'drame', 'thriller']",5.0,BBC One,90.0,"['25', 'juillet', '2010']",juillet,2010,été,UK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,The Walking Dead,6.7,Série de   Frank Darabont,"['épouvante-horreur', 'drame']",10.0,AMC,43.0,"['11', 'octobre', '2010']",octobre,2010,automne,USA,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Boardwalk Empire,7.6,Série de   Terence Winter,['drame'],5.0,HBO,60.0,"['19', 'septembre', '2010']",septembre,2010,automne,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Luther,7.6,Série de   Neil Cross,"['policier', 'drame']",5.0,BBC One,60.0,"['4', 'mai', '2010']",mai,2010,printemps,UK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Band of Brothers : L'enfer du Pacifique,7.5,Série de   Bruce McKenna,"['mini-série', 'drame', 'guerre']",1.0,HBO,50.0,"['14', 'mars', '2010']",mars,2010,printemps,USA,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Downton Abbey,7.6,Série de   Julian Fellowes,['drame'],6.0,ITV,60.0,"['26', 'septembre', '2010']",septembre,2010,automne,UK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Spartacus,6.7,Série de   Steven S. DeKnight,"['action', 'drame', 'historique']",3.0,Starz,60.0,"['22', 'janvier', '2010']",janvier,2010,hiver,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Game of Thrones,8.2,Série de   David Benioff et   D.B. Weiss,"['aventure', 'drame', 'fantasy']",8.0,HBO,52.0,"['5', 'décembre', '2010']",décembre,2010,hiver,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Treme,8.1,Série de   David Simon et   Eric Overmyer,['drame'],4.0,HBO,60.0,"['11', 'avril', '2010']",avril,2010,printemps,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Justified,7.2,Série de   Graham Yost,"['policier', 'drame', 'action']",6.0,FX,45.0,"['16', 'mars', '2010']",mars,2010,printemps,USA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Louie,7.7,Série de   Louis C.K.,"['comédie', 'drame']",5.0,FX,25.0,"['29', 'juin', '2010']",juin,2010,été,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Rubicon,7.5,Série de   Jason Horwitch,"['thriller', 'policier', 'drame']",1.0,AMC,60.0,"['13', 'juin', '2010']",juin,2010,été,USA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Borgen, une femme au pouvoir",7.8,Série de   Adam Price,['drame'],3.0,DR1,59.0,"['26', 'septembre', '2010']",septembre,2010,automne,Denmark,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
