,Nom,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie,Mois,Année,Saison,Pays,series_policier,series_drame,series_thriller,series_épouvante-horreur,series_mini-série,series_guerre,series_action,series_historique,series_aventure,series_fantasy,series_comédie,series_animation,series_jeunesse,series_documentaire,series_dramatique,series_romance,series_shōnen,series_seinen,series_fantastique,series_science-fiction,series_sport,series_biopic,series_musique,series_anthologique,series_judiciaire,series_western,series_médical,series_télé-réalité
13,La Ligue des justiciers : Nouvelle Génération,7.4,Dessin animé de   Greg Weisman et   Brandon Vietti,"['action', 'animation', 'jeunesse']",2.0,DC Universe,25.0,"['26', 'novembre', '2010']",novembre,2010,automne,USA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Les Piliers de la Terre,7.1,Série de   John Pielmeier,"['thriller', 'drame', 'mini-série']",1.0,Starz,60.0,"['23', 'juillet', '2010']",juillet,2010,été,USA,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,The Tatami Galaxy,8.3,Anime de   Masaaki Yuasa,"['animation', 'comédie']",1.0,Fuji TV,25.0,"['23', 'avril', '2010']",avril,2010,printemps,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Faux Raccord,7.4,Émission Web,"['comédie', 'documentaire', 'mini-série']",8.0,Allociné,10.0,"['15', 'janvier', '2010']",janvier,2010,hiver,France,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,This is England,7.9,Série de   Shane Meadows,"['mini-série', 'policier', 'drame']",3.0,Channel 4,60.0,"['7', 'septembre', '2010']",septembre,2010,automne,UK,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,La Folle Histoire du Palmashow,7.4,"Émission TV de   Grégoire Ludig,   David Marsais et   Jonathan Barré",['comédie'],Inconnu,Direct 8,6.0,"['26', 'septembre', '2010']",septembre,2010,automne,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Raising Hope,6.9,Série de   Gregory Thomas Garcia,['comédie'],4.0,FOX (US),25.0,"['21', 'septembre', '2010']",septembre,2010,automne,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,How to Make It in America,6.9,Série de   Ian Edelman,"['comédie', 'dramatique']",2.0,HBO,30.0,"['14', 'février', '2010']",février,2010,hiver,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Ugly Americans,7.7,Dessin animé de   David M. Stern et   Devin Clark,"['comédie', 'animation']",2.0,Comedy Central (US),25.0,"['17', 'mars', '2010']",mars,2010,printemps,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Rizzoli et Isles,5.8,Série de   Tess Gerritsen et   Janet Tamaro,"['policier', 'drame']",7.0,TNT (US),45.0,"['12', 'juillet', '2010']",juillet,2010,été,USA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Scooby-Doo : Mystères associés,6.2,Dessin animé de   Joe Ruby et   Ken Spears,"['comédie', 'jeunesse', 'animation']",2.0,Cartoon Network,25.0,"['12', 'juillet', '2010']",juillet,2010,été,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Strike Back,6.7,Série de   Andy Harries,"['action', 'aventure', 'drame']",8.0,Cinemax,45.0,"['5', 'mai', '2010']",mai,2010,printemps,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Millenium,7.6,Série de   Daniel Alfredson et   Niels Arden Oplev,"['thriller', 'policier', 'action']",1.0,SVT,90.0,"['20', 'mars', '2010']",mars,2010,printemps,Sweden,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Maison close,6.1,Série de   Jacques Ouaniche,['drame'],2.0,Canal+,55.0,"['4', 'octobre', '2010']",octobre,2010,automne,France,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Pretty Little Liars,5.2,Série de   I. Marlene King,"['drame', 'thriller']",7.0,Freeform,45.0,"['8', 'juin', '2010']",juin,2010,été,USA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Hawaii 5-0,5.0,"Série de   Roberto Orci,   Peter M. Lenkov et   Alex Kurtzman","['policier', 'comédie', 'action']",10.0,CBS,45.0,"['20', 'septembre', '2010']",septembre,2010,automne,USA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Avengers : L'équipe des Super Héros,6.5,"Dessin animé de   Joshua Fine,   Jack Kirby et   Stan Lee","['action', 'animation', 'fantasy']",2.0,Disney XD,25.0,"['8', 'octobre', '2010']",octobre,2010,automne,France,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Rainbow,7.8,"Anime de   Hiroshi Kôjina,   Masasumi Kakizaki et   George Abe","['thriller', 'drame', 'historique']",1.0,NTV (JP),25.0,"['6', 'avril', '2010']",avril,2010,printemps,Japan,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Bakuman.,7.3,Anime de   Kasai Ken'ichi et   Akitaya Noriaki,"['romance', 'shōnen', 'comédie']",3.0,AnimeDigitalNetwork,25.0,"['2', 'octobre', '2010']",octobre,2010,automne,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Shameless (US),7.6,Série de   Paul Abbott,"['comédie', 'drame']",11.0,Showtime,60.0,"['12', 'décembre', '2010']",décembre,2010,hiver,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Nikita,5.7,Série de   Craig Silverstein,"['policier', 'drame', 'action']",4.0,The CW,45.0,"['9', 'septembre', '2010']",septembre,2010,automne,USA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Black Lagoon: Roberta`s Blood Trail,7.3,"Anime (OAV) de   Rei Hiroe,   Shino Masanori et   Sunao Katabuchi","['drame', 'action', 'animation']",1.0,Inconnue,33.0,"['27', 'juin', '2010']",juin,2010,été,Inconnu,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Terriers,7.5,Série de   Ted Griffin,['drame'],1.0,FX,45.0,"['8', 'septembre', '2010']",septembre,2010,automne,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Angel Beats!,7.0,"Anime de   Na-Ga,   Seiji Kishi et   Jun Maeda","['animation', 'drame', 'seinen']",1.0,Tokyo Broadcasting System,25.0,"['2', 'avril', '2010']",avril,2010,printemps,Japan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,The Event,5.5,Série de   Nick Wauters,"['action', 'aventure', 'drame']",1.0,NBC,45.0,"['20', 'septembre', '2010']",septembre,2010,automne,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Epic Rap Battles of History,7.1,Émission Web de   Epic Lloyd et   Nice Peter,['comédie'],Inconnu,YouTube,10.0,"['26', 'septembre', '2010']",septembre,2010,automne,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Les Mystères de Haven,6.1,Série de   Scott Shepherd,"['fantastique', 'policier', 'science-fiction']",5.0,SyFy,45.0,"['9', 'juillet', '2010']",juillet,2010,été,France,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,High School of the Dead,6.0,"Anime de   Tetsurō Araki,   Daisuke Satô et   Shôji Satô (mangaka)","['shōnen', 'action', 'romance']",1.0,TV Tokyo,25.0,"['27', 'juin', '2010']",juin,2010,été,Japan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Blue Bloods,5.8,Série de   Mitchell Burgess et   Robin Green,"['policier', 'drame']",11.0,CBS,45.0,"['24', 'septembre', '2010']",septembre,2010,automne,USA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Blue Mountain State,6.9,Série de   Eric Falconer et   Chris Romano,"['comédie', 'sport']",3.0,Paramount Network,25.0,"['11', 'janvier', '2010']",janvier,2010,hiver,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Cyanide & Happiness Shorts,7.7,"Émission Web de   Dave McElfatrick,   Rob Denbleyker,   Matt Melvin...","['comédie', 'animation']",1.0,YouTube,2.0,"['1', 'février', '2010']",février,2010,hiver,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Panty & Stocking with Garterbelt,7.6,Anime de   Gainax et   Hiroyuki Imaishi,"['animation', 'comédie', 'action']",1.0,Tokyo MX,25.0,"['2', 'octobre', '2010']",octobre,2010,automne,Japan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Parlons VF,7.5,Émission Web de   Misterfox,"['documentaire', 'mini-série']",4.0,YouTube,20.0,"['1', 'septembre', '2010']",septembre,2010,automne,USA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Carlos,7.2,Série de   Daniel Leconte et   Olivier Assayas,"['biopic', 'thriller', 'policier']",1.0,Canal+,104.0,"['19', 'mai', '2010']",mai,2010,printemps,France,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Cobra The Animation,7.0,Anime de   Buichi Terasawa,['animation'],1.0,BS11,25.0,"['2', 'janvier', '2010']",janvier,2010,hiver,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Dragons et Princesses,7.9,Série de   Michel Ocelot,"['animation', 'jeunesse', 'fantasy']",1.0,Canal + Family,13.0,"['25', 'octobre', '2010']",octobre,2010,automne,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Black Butler II,6.3,Anime de   Hirofumi Ogura et   Yana Toboso,"['animation', 'comédie', 'drame']",1.0,Tokyo Broadcasting System,25.0,"['1', 'juillet', '2010']",juillet,2010,été,Japan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,J'ai jamais su dire non,6.9,Websérie de   Slimane-Baptiste Berhoun,['comédie'],1.0,YouTube,10.0,"['11', 'avril', '2010']",avril,2010,printemps,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,My Little Pony: Les Amies c'est Magique!,5.7,Dessin animé de   Lauren Faust,"['aventure', 'animation', 'jeunesse']",5.0,Discovery Family,25.0,"['10', 'octobre', '2010']",octobre,2010,automne,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
